State,hasDOBasPI,hasOnlineAccountsasPI,onlyRequiresAccess,governmentInvolvementRequired,thresholdNotifyAG,thresholdNotifyCRA,timeFrame,serviceProvidersNotifyCustomers,harmAnalysisAllowed,harmAnalysisRequired,financialAccountInformationisPI, notifyAGRequired,modifiedLawsin2018or2019,asSoonAsPossible,asSoonAsReasonablyPracticableFollowingDiscovery,within24Hours,immediatelyAfterDiscoveryifPIAcquiredbyUnauthorizedPerson,immediatelyAfterDiscoveryIfPIMisuseisLikelyToOccur,immediatelyAfterDeterminationorReasonableBeliefthatInformationhasBeenBreached,immediatelyAfterDiscoveryifPIWasIncludedinBreachedData,immediatelyAfterDiscoveryConsistentWithLegitimateNeedsofLawEnforcement,immediatelyAfterDiscovery,asSoonAsReasonablyPracticableandWithoutUnreasonableDelayifPIisLikelyToBeMisused,asSoonAsReasonablyPracticableandWithoutUnreasonableDelayifPIisAcquiredbyUnauthorizedPerson,inMostExpedientTimePossibleNoLaterThan45CalendarDays,inAnExpeditiousMannerifAcquisitionbyUnauthorizedPersonExistsandisReasonablyBelievedtoCauseaMaterialRiskofIdentityTheftorFraud,asSoonAsPracticableifServiceProviderhasnotenteredintoaContract,inMostExpedientTimePossibleAfterDiscovery
Alabama,FALSE,TRUE,FALSE,TRUE,1000,1000,45,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,
Alaska,FALSE,FALSE,FALSE,FALSE,,1000,,"If a breach of the security of the information system containing personal information of a state resident that is maintained by an information recipient occurs, the information recipient is not required to comply with AS 45.48.010 - 45.48.030. However, immediately after the information recipient discovers the breach, the information recipient shall notify the information distributor who owns the personal information or who licensed the use of the personal information to the information recipient about the breach and cooperate with the information distributor as necessary to allow the information distributor to comply with this statute. ""Cooperate"" means sharing with the information distributor information relevant to the breach, except for confidential business information or trade secrets.",TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,TRUE,,,,,,
Arizona,FALSE,TRUE,FALSE,TRUE,1000,1000,45,As soon as possible,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
Arkansas,FALSE,FALSE,FALSE,TRUE,,,,Immediately Following Discovery if PI was reasonably believed to have been acquired by an unauthorized person,TRUE,TRUE,TRUE,FALSE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
California,FALSE,TRUE,TRUE,FALSE,500,,15,Immediately Following Discovery if PI was reasonably believed to have been acquired by an unauthorized person,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Colorado,FALSE,TRUE,FALSE,TRUE,500,1000,30,Immediately Following Discovery if misuse of PI is likely to occur,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,
Connecticut,FALSE,FALSE,TRUE,TRUE,,,90,Immediately Following Discovery if PI was reasonably believed to have been breached,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,
Delaware,FALSE,TRUE,FALSE,TRUE,500,,60,Immediately Following Determination of the Breach of Security,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,TRUE,,,TRUE,,,,,,
Florida,FALSE,TRUE,TRUE,TRUE,500,,30,As soon as practicable but no later than 10 days,TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,,,,,,,,,,
Georgia,FALSE,FALSE,FALSE,TRUE,,10000,,Within 24 hours following discovery,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,,,,,,,
Hawaii,FALSE,FALSE,FALSE,TRUE,1000,,,Immediately Following Discovery of the Breach,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,,,,,
Idaho,FALSE,FALSE,FALSE,TRUE,,,,Immediately Following Discovery if misuse of PI is reasonably likely to occur,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,TRUE,,,,TRUE,,,,,,
Illinois,FALSE,TRUE,FALSE,FALSE,250,,,Immediately Following Discovery if PI was or is reasonably believed to have been acquired by an unauthorized person,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Indiana,FALSE,FALSE,FALSE,TRUE,"If a data base owner is required to notify affected individuals, the data base owner must also disclose the breach to the Attorney General.",,,If the SP discovers that PI may have been acquired by an unauthorized person,TRUE,TRUE,TRUE,TRUE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Iowa,FALSE,FALSE,FALSE,TRUE,500,,,Immediately Following Discovery if PI was included in the information that was breached,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,TRUE,,,,,,
Kansas,FALSE,FALSE,FALSE,TRUE,,,,If the PI was or is reasonably believed to have been accessed and acquired by an unauthorized person,TRUE,TRUE,TRUE,FALSE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Kentucky,FALSE,FALSE,FALSE,TRUE,,1000,,As soon as reasonably practicable following discovery,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,,,,,,,,,,
Louisiana,FALSE,FALSE,FALSE,FALSE,,,60,"If the PI was or is reasonably believed to have been acquired by an unauthorized person through a breach of security of the system containing such data, following discovery by the agency or person of a breach of the security system",TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Maine,FALSE,FALSE,FALSE,TRUE,Notice must be provided to the Attorney General or Department of Professional and Financial Regulation if the entity is governed by that body.,,7,Immediately Following Discovery if PI was or is reasonably believed to have been acquired by an unauthorized person,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Maryland,FALSE,TRUE,FALSE,FALSE,Notification to the Attorney General is required prior to notifying individuals.,,45,If it is likely that the breach has resulted or will result in the misuse of PI of an individual residing in MD.  As soon as practicable but not later than 45 days after the Entity discovers or is notified of the breach of the security of the system,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,
Massachusetts,FALSE,FALSE,FALSE,FALSE,"Notification must be made to the Attorney General, Director of Consumer Affairs and Business Regulation. Upon receipt of notice, the Director of Consumer Affairs and Business Regulation will identify any relevant Consumer Reporting Agency or state agency that needs to be notified to the notifying party.",,,"As soon as practicable and without unreasonable delay, when such Entity (i) knows or has reason to know of a breach of security or when the Entity knows or has reason to know that the PI of such resident was acquired or used by an unauthorized person or used for an unauthorized purpose, to the owner or licensor.",TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,
Michigan,FALSE,FALSE,FALSE,TRUE,,,,"Unless the Entity determines that the security breach has not or is not likely to cause substantial loss or injury to, or result in identity theft with respect to one or more residents of MI.",TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,
Minnesota,FALSE,FALSE,FALSE,TRUE,,500,,"Immediately Following Discovery, if the PI was, or is reasonably believed to have been, acquired by an unauthorized person",FALSE,FALSE,TRUE,FALSE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Mississippi,FALSE,FALSE,FALSE,TRUE,,,,"As soon as practicable following discovery, if the personal information was, or is reasonably believed to have been, acquired by an unauthorized person for fraudulent purposes",TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,TRUE,,,,
Missouri,FALSE,FALSE,FALSE,TRUE,1000,1000,,"Immediately Following Discovery, consistent with the legitimate needs of law enforcement",TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,
Montana,FALSE,FALSE,FALSE,TRUE,"Any person, business, or state agency required to make a notification must also simultaneously submit an electronic copy of the notification and a statement providing the date and method of distribution of the notification to the Montana Attorney General's Consumer Protection Office, excluding any information that personally identifies any individual who is entitled to receive notification. If notification is made to more than one individual, the notification must indicate the number of individuals in the state who received notification.",,,Immediately following discovery if the PI was or is reasonably believed to have been acquired by an unauthorized person.,TRUE,TRUE,TRUE,TRUE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Nebraska,FALSE,TRUE,FALSE,TRUE,"An individual or commercial entity required to provide notice of a breach of security of the system to a Nebraska resident(s) must also, not later than the time when notice is provided to the Nebraska resident(s), provide notice of the breach of security of the system to the Nebraska Attorney General’s Office",,,When it becomes aware of a breach if use of PI about a NE resident for an unauthorized purpose occurred or is reasonably likely to occur,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,
Nevada,FALSE,TRUE,FALSE,FALSE,,,,"Immediately following discovery if the PI was, or is reasonably believed to have been, acquired by an unauthorized person",TRUE,TRUE,TRUE,FALSE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
New Hampshire,FALSE,FALSE,FALSE,FALSE,Any person engaged in trade or commerce shall notify the regulator which has primary regulatory authority over such trade or commerce; all other persons shall notify Attorney General’s office. Notice to the Attorney General’s office must include the anticipated date of the notice to the individuals and the approximate number of individuals in the state who will be notified. The names of the individuals entitled to receive notice do not have to be disclosed.,1000,,Immediately following discovery if the PI was acquired by an unauthorized person,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
New Jersey,FALSE,FALSE,TRUE,TRUE,"Any Entity required under this section to disclose a breach of security of a customer’s PI shall, prior to disclosure to the customer, report the breach of security and any information pertaining to the breach to the Division of State Police in the Department of Law and Public Safety for investigation or handling, which may include dissemination or referral to other appropriate law enforcement entities.",,,"Immediately following discovery, if the PI was, or is reasonably believed to have been, accessed by an unauthorized person",TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
New Mexico,FALSE,FALSE,FALSE,TRUE,1000,1000,45,"In the most expedient time possible, but not later than 45 calendar days following discovery of the breach, except if delayed notification is permitted to determine the scope of the breach or for law enforcement investigation purposes. However, notification to the owner or licensee of the information is not required if, after an appropriate investigation, the business determines that the security breach does not give rise to a significant risk of identity theft or fraud",TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,
New York,FALSE,FALSE,FALSE,TRUE,"The person or business must notify the state Attorney General, the Department of State Division of Consumer Protection, and the State Police as to the timing, content and distribution of the notices and approximate number of affected persons.",5000,,"Immediately following discovery, if the private information was, or is reasonably believed to have been, acquired by a person without valid authorization",FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
North Carolina,FALSE,FALSE,FALSE,FALSE,"A breach must be reported to the Consumer Protection Division of the Attorney General’s Office. Notification to the Attorney General must include the nature of the breach, the number of consumers affected, steps taken to investigate the breach, steps taken to prevent a similar breach in the future, and information regarding the timing, distribution, and content of the notice. Submission of a completed North Carolina Security Breach Reporting Form by mail or fax will satisfy this requirement.",,,Immediately following discovery of the breach,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,TRUE,,,,,,
North Dakota,TRUE,FALSE,FALSE,TRUE,250,,,"Immediately following the discovery, if the PI was, or is reasonably believed to have been, acquired by an unauthorized person",FALSE,FALSE,TRUE,TRUE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Ohio,FALSE,FALSE,FALSE,TRUE,250,1000,45,"In an expeditious manner, if the PI was, or reasonably is believed to have been, accessed and acquired by an unauthorized person and if the access and acquisition by the unauthorized person causes or reasonably is believed will cause a material risk of identity theft or other fraud to a resident of OH",TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,
Oklahoma,FALSE,FALSE,FALSE,TRUE,,,,"As soon as practicable following discovery, if the PI was or if the Entity reasonably believes was accessed and acquired by an unauthorized person",TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,TRUE,,,,
Oregon,FALSE,FALSE,FALSE,FALSE,250,1000,45,"As soon as practicable, [Effective Jan. 1, 2020] but not later than 10 days after discovering the breach of security or having a reason to believe that the breach of security occurred. That person must also notify the Attorney General in writing or electronically if the number of residents affected exceeds 250 or cannot be determined, unless the Entity has already notified the Attorney General.",TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,
Pennsylvania,FALSE,FALSE,FALSE,TRUE,,1000,,"Following discovery to the Entity on whose behalf it maintains, stores or manages the data.",TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,
Rhode Island,FALSE,FALSE,FALSE,TRUE,500,,45,,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,
South Carolina,FALSE,FALSE,FALSE,FALSE,1000,,,"Immediately following discovery, if the PI was, or is reasonably believed to have been, acquired by an unauthorized person",TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
South Dakota,FALSE,TRUE,FALSE,TRUE,250,,60,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,
Tennessee,FALSE,FALSE,FALSE,FALSE,,,45,"If the PI was, or is reasonably believed to have been, acquired by an unauthorized person. The disclosure must be made no later than 45 days from the discovery or notification of the breach, unless a longer period of time is required due to the legitimate needs of law enforcement,",TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,
Texas,FALSE,FALSE,FALSE,FALSE,,10000,,"Immediately after discovering the breach, if the sensitive PI was, or is reasonably believed to have been, acquired by an unauthorized person.",FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Utah,FALSE,FALSE,FALSE,TRUE,,,,Immediately following the Entity’s discovery of the breach if misuse of the PI occurs or is reasonably likely to occur.,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,TRUE,,,,TRUE,,,,,,
Vermont,FALSE,FALSE,FALSE,TRUE,"Once notice is made to consumers, the Attorney General must be notified of the number of Vermont consumers affected and provided a copy of the notice. A second copy of the consumer notification letter, with personally identifiable information that was subject to the breach redacted, can also be provided to the attorney general which will be used for any public disclosure of the breach. For Vermont-regulated financial institutions, notice should be made instead to the Department of Financial Regulation.",1000,45,"Immediately following discovery of the breach, consistent with the legitimate needs of law enforcement.",TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,TRUE,TRUE,,,,,,
Virginia,FALSE,FALSE,FALSE,FALSE,1000,1000,,If the PI was accessed and acquired by an unauthorized person or the Entity reasonably believes the PI was accessed and acquired by an unauthorized person.,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,
Washington,FALSE,FALSE,FALSE,FALSE,500,,45,"Immediately following discovery, if the PI was, or is reasonably believed to have been, acquired by an unauthorized person.",TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
West Virginia,FALSE,FALSE,FALSE,TRUE,,1000,,"As soon as practicable following discovery, if the PI was or the Entity reasonably believes was accessed and acquired by an unauthorized person.",TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,TRUE,,,,
Wisconsin,FALSE,FALSE,FALSE,TRUE,,1000,45,"When the person storing the PI has not entered into a contract with the person that owns or licenses the PI, the person storing the PI shall notify the person that owns or licenses the PI of the acquisition as soon as practicable.",TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,TRUE,
Wyoming,FALSE,TRUE,FALSE,TRUE,,,,"As soon as practicable following the determination that PI was, or is reasonably believed to have been, acquired by an unauthorized person.",TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,TRUE,,,,
District of Columbia,FALSE,FALSE,FALSE,FALSE,,,,In the most expedient time possible following discovery.,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,TRUE
Puerto Rico,FALSE,FALSE,TRUE,FALSE,"Clients must be notified as expeditiously as possible, taking into consideration the need of law enforcement agencies to secure possible crime scenes and evidence as well as the application of measures needed to restore the system’s security. Within a non-extendable term of ten (10) days after the violation of the system’s security has been detected, the parties responsible shall inform the Department of Consumer Affairs, which shall make a public announcement of the fact within twenty-four (24) hours after having received the information.",,,"Any entity that as part of their operations resells or provides access to digital data banks that at the same time contain personal information files of citizens must notify the proprietor, custodian or holder of said information of any violation of the system's security that has allowed access to those files to unauthorized persons",FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,
Virgin Islands,FALSE,FALSE,FALSE,FALSE,,,,"Immediately following discovery, if the personal information was, or is reasonably believed to have been, acquired by an unauthorized person.",FALSE,FALSE,TRUE,FALSE,FALSE,,,,TRUE,,,,,TRUE,,,,,,
Guam,FALSE,FALSE,FALSE,TRUE,,,,"As soon as practicable following discovery. Notice may be delayed if a law enforcement agency determines and advises the individual or entity that the notice will impede a criminal or civil investigation, or homeland or national security.",FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,,,,,,,,,,
